State,District,Taluka_Ward,Facility_Name,Doctor_In_Charge,Doctor_Specialization,Total_Beds,Address,Postal_Code,Registration_Year,Status,Source_URL
Maharashtra,Mumbai Suburban / Mumbai City,Kandivali,DR. SANJAY KUMAR .,DR. VAISHALI  KILLEKAR,M.B.B.S. DGO DNB,2,F EMRALD SOC THAKUR COMPLEX KANDIVALI,400101,2011,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Kandivali,MR. ABDUL RAZAK IBRAHIM MERCHANT,DR. SHIRIN ABUSAB KAPDI,M.B.B.S.,15,POOJA ENCLAVE GANESH NAGAR KANDIVALI,400067,2011,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Kandivali,DR. MANGESH ANAJI BUDHKAR,DR. MANGESH ANAJI BUDHKAR,MBBS,324,BDBA HOSPITAL S.V.ROAD KANDIVALI,400067,2014,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Kandivali,DR. NITIN . PAWAR,DR. NITIN  PAWAR,BAMS,100,HOUSE BEHINE DIMPLE ACARKDE BHIND SAID DHAM KANDIVALI,400101,2015,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Kandivali,DR. VAISHALI NITIN SHAH,DR. NITIN  SHAH,MS,25,ARCH GOLD APARTMENT S. V. ROAD KANDIVALI WEST,400067,2016,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. P. R. KINI,DR. ANIL B. MALI,M.S.ORTH,6,PURNIMA  BLDG M.G.ROAD MULUND (W),400080,1999,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. PANKAJ J. JOSHI,DR. JAYSHREE . SOMAN,ANM,8,APURVA APTS GOVARDHAN NAGAR MULUND(W),400080,2006,Payment / Doc received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. HARESH H. MANGLANI,DR. H. H. MANGLANI,"M.S(ORTH),DNB(ORTH)",15,MANISHA HEIGHTS BALRAJESHWAR ROAD MULUND (W),400080,2007,Payment / Doc received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. BIPINKUMAR V. DAXINI,DR. BIPINKUMAR V. DAXINI,MD.DM,11,LAV KUSH CO-OP.HSG. SOCIETY MULUND (W),400080,2000,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. THOMAS  KOSHY,DR. ANNIE  THOMAS,BDS MDS,15,HERITAGE HOLY J N ROAD MULUND (W),400080,2004,Payment / Doc received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. SANGEETA S SHETTY,MRS. LUSSY  VARGHESE,DIP NURSING,15,B/WING VASANT OSCAR HALLMARK MULUND(W),400080,2004,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. NEERAJ RAKESH KHANNA,DR. NIRAJ - KHANNA,M B B S,12,2ST FLOOR JAMUNA SADAN M G ROAD,400080,2006,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. SANJAY RAVINRA SHAH,DR. NEETA K SHINDE,DIPLOMA,1,VIKAS APTS N.S.RD MULUND(W),400080,2003,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. RAJEN H DOSHI,DR. SAPANA . DOSHI,M.D.(BOM),5,MUNSHI ESTATE S.L.RD MULUND(W),400080,1997,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. SIMANDHAR BABAN SABLE,MS. SUJATA K TAPASE,ANM,2,HERITAGE HOLY J.N.RD MULUND (W),400080,2005,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,DR. THOMAS . KOSHY,DR. THOMAS KOSHY,"MBBS,MD",15,HOLT TRINITY HOSPITA J N ROAD MULUND WEST,400080,2004,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Mulund,MR. SHANTILAL RAMBHIA (TRUSTEE),SMT. D A A,N.M,29,SURVEY NO.204. H.NO. 1 AND  2 MULUND W,400080,1985,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Colaba,DR. NARAYAN K MALPANI,DR. ANIRUDDHA NARAYAN MALPANI,"M.B.B.S,M.D",6,JAMUNA SAGAR 5TH FL S.B.S ROAD COLABA,400005,1982,Payment / Doc received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Colaba,DR. D P VYAS,DR. D P VYAS,"MBBS,MD",734,"BOMBAY HOSPITAL 12,MARINE LINES .",400020,1975,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Colaba,DR. MANMAL MANIKCHAND BEGANI,DR. M.M. BEGANI,MS,12,LADY RATAN TATA MEDICAL CENTRE -MAHARSHI KARVE ROAD,400021,2001,Payment / Doc received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Colaba,MR. NARESH G BATHIJA,MS. MERLYN SANTAN PEREIRA,GEN. NUSING&amp;MID WIF,3,MISTRY CHEMBAR STRAND CINEMA COLABA,400004,2011,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Byculla,DR. MEHDI HASSAN KAZEROUNI,DR. M. H. KAZEROUNI,M.S,18,. CENTRAL HOSPITAL &amp;amp;amp; NURSING HOME RMO QUARTERS,400008,1974,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Byculla,DR. RAJENDRA PRASAD  VERMA,DR. RAJENDRA PRASAD  VERMA,M.S.,7,BOMBAY MAT &amp;amp; KAMATHIPURA NAGPADA,400008,1988,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Byculla,DR. GUNVANTI S SHAH,DR. S L SHAH,M.B.B.S,9,. ADINATH CHS MAZGAON,400010,1977,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Byculla,DR. SUBHASH R JAIN,DR. SUBHASH JAIN,GCEH,8,162 BARTAWALA BLDG OPP DENA BANK,400009,1998,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Byculla,DR. MAHENDRA MARAMANJI JADEJA,DR. RAMESH R DEDHIA,M.B.B.S.,4,JER BAI BAUG GLORIA CHURCH BYCULLA,400027,1994,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Byculla,DR. ATUL  ADANIYA,DR. NARENDRA R MALAVIYA,MBBS,201,MAZGAON AGA HALL NESBIT RD,400010,1974,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Byculla,DR. IRFAN KHATIB,DR. IRFAN Z KHATIB,MS,4,HONDA MANSION SIR J J ROAD BYCULLA,400008,2002,Payment / Doc received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. SUNIL NAVIN VASANI,DR. SUNIL N VASANI,MBBS DNB DO DOMS FCPS,3,JER MANSION AUGUST KRANTI MARG .,400036,2007,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. BHANU R SHAH,DR. BHANU RATILAL SHAH,F.R.C.S.(ENG),3,CORNELIAN 104 AUGUST KRANTI MARG KEMPS CORNER,400036,2007,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. SITA PRAVIN TILWANI,DR. KAVITA PRAVIN TILWANI,MBBS DGO DNB,8,KANTA BLDG MAULANA SHAUKAT ALI RD 1ST FLR,400007,2007,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. G V KOPPIKAR (M D),DR. GEETA V KOPPIKAR,"MBBS,MD,DPB",164,BREACH CANDY BHULABHAI DESAI RD .,400026,2007,Payment / Doc received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. VATSAL S PARIKH &AMP;AMP;AMP;AMP;AMP;AMP DR CHETNA V PARIKH,DR. VATSAL PARIKH,MS DOMS FCPS,14,"RADHE VALLABH CHS 2ND FLR FRENCH BRIDGE CORNER OPERA HOUSE,CHARNI RD",400004,2007,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. ARJUN S AHUJA,DR. ARJUN S AHUJA,"MS, DOMS",2,NAVJIVAN SOCIETY LAMINGTON RD MUMBAI CENTRAL,400008,2007,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. J P PANDEY,DR. J P PANDEY - M.D.,MBBS BS MS DHA,37,MATRU CHAYYA GR FLR &amp;amp;amp;amp;amp;amp; 1ST FLR BABULNATH,400007,2007,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. MRS NEENA AJIT PAI,DR. AJIT SITARAM PAI,MD DGO DFP FCPS,15,KVD FND BLDG TATYA GHARPURE PATH GIRGAUM,400004,2007,Approved By AHO/Commitee,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. MOHAN DIPCHAND VORA,DR. MOHAN DIPCHAND VORA,MBBS MD FCDS DCO,5,PARESH BHULABHAI DESAI RD HAJI ALI,400026,2004,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. SUVARNA MOHAN VORA,DR. SUVARNA MOHAN VORA,MBBS DGO,5,4A PARESH 1ST AND 3RD FLOOR HAJI ALI,400026,2004,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
Maharashtra,Mumbai Suburban / Mumbai City,Grant Road,DR. DURU SUSHIL SHAH,DR. DURU SUSHIL SHAH,MD FRC 06,5,KWALITY HOUSE KEMPS CORNER .,400026,2006,Scheduled fees received,https://raw.githubusercontent.com/mickeykedia/Mumbai-Data/master/nursing_home_licenses_mcgm.csv
