disease_id,disease_name,primary_specialty,secondary_specialties,matched_organ_system_scores,primary_specialty_score,total_matched_phenotype_scores,routing_confidence,clinical_genetics_referral,mapping_method,source_hpoa_version,hpo_annotation_source_url,specialty_taxonomy_reference_url,clinical_review_required
OMIM:619488,DEGCAGS syndrome,Orthopedics,Dermatology; Gastroenterology / Hepatology; Clinical Genetics,skeletal_system:14; integument:13; digestive_system:13; cardiovascular_system:12; genitourinary_system:11; nervous_system:10; development_and_growth:10; immune_connective_tissue:9; eye:7; respiratory_system:7; ear:6; blood_system:5; endocrine_metabolic_system:3,14,120,moderate,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:117550,Sotos syndrome,Neurology,Orthopedics; Cardiology; Clinical Genetics,nervous_system:26; skeletal_system:13; cardiovascular_system:9; digestive_system:8; integument:7; ear:6; genitourinary_system:5; eye:5; development_and_growth:5; immune_connective_tissue:4; endocrine_metabolic_system:3; blood_system:1; respiratory_system:1,26,93,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:604377,"Mitochondrial complex IV deficiency, nuclear type 2",Neurology,Clinical Genetics,nervous_system:52; endocrine_metabolic_system:11; respiratory_system:10; cardiovascular_system:8; eye:7; skeletal_system:5; digestive_system:3; integument:2; ear:2; development_and_growth:2; immune_connective_tissue:1; blood_system:1; genitourinary_system:1,52,105,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:613406,Witteveen-Kolk syndrome,Neurology,Orthopedics; Ophthalmology; Clinical Genetics,nervous_system:29; skeletal_system:19; eye:10; ear:8; integument:6; development_and_growth:6; immune_connective_tissue:5; digestive_system:5; genitourinary_system:5; endocrine_metabolic_system:2; cardiovascular_system:1; blood_system:1,29,97,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:618089,Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities,Orthopedics,Neurology; Dermatology; Clinical Genetics,skeletal_system:25; nervous_system:13; integument:11; eye:9; ear:7; immune_connective_tissue:5; digestive_system:4; development_and_growth:3; respiratory_system:3; cardiovascular_system:2; genitourinary_system:2; endocrine_metabolic_system:1,25,85,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:620985,Karayol-Borroto-Haghshenas neurodevelopmental syndrome,Neurology,Orthopedics; Clinical Genetics,nervous_system:52; skeletal_system:15; eye:11; digestive_system:4; development_and_growth:4; integument:3; ear:3; genitourinary_system:3; immune_connective_tissue:2; endocrine_metabolic_system:2; cardiovascular_system:1; respiratory_system:1,52,101,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:615502,"Intellectual developmental disorder, autosomal dominant 21",Neurology,Orthopedics; Dermatology; Clinical Genetics,nervous_system:24; skeletal_system:22; integument:8; ear:8; eye:6; cardiovascular_system:4; digestive_system:3; immune_connective_tissue:2; development_and_growth:2; genitourinary_system:1,24,80,moderate,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:616977,"Intellectual developmental disorder, autosomal dominant 43",Neurology,Orthopedics; Clinical Genetics,nervous_system:45; skeletal_system:12; digestive_system:7; integument:6; eye:6; development_and_growth:6; cardiovascular_system:3; ear:3; immune_connective_tissue:2; endocrine_metabolic_system:1; blood_system:1; respiratory_system:1,45,93,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:115150,Cardiofaciocutaneous syndrome 1,Dermatology,Neurology; Orthopedics; Clinical Genetics,integument:22; nervous_system:14; skeletal_system:14; eye:12; digestive_system:8; cardiovascular_system:7; ear:7; immune_connective_tissue:4; development_and_growth:4; neoplasm:2; blood_system:1; genitourinary_system:1,22,96,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:270400,Smith-Lemli-Opitz syndrome,Neurology,Orthopedics; Nephrology / Urology; Clinical Genetics,nervous_system:23; skeletal_system:19; genitourinary_system:16; digestive_system:15; cardiovascular_system:9; development_and_growth:7; endocrine_metabolic_system:5; eye:5; ear:4; immune_connective_tissue:3; integument:3; respiratory_system:2; neoplasm:1,23,112,moderate,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
